hotelName,hotelInformationUrl,hotelMinCharge,latitude,longitude,reviewCount,reviewAverage,station
三交イン京都八条口〈雅〉～四季乃湯～,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176797,2850,125929.9,488742.2,495,4.48,kyoto
京都東本願寺前　山田屋旅館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39629,7150,125958.89,488747.63,96,5,kyoto
松葉家旅館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=79367,5600,125960.01,488749.17,16,4.33,kyoto
Ｒａｃｉｎｅ　ｈｏｍｅ　京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153492,3400,125961.5,488749.57,13,5,kyoto
京都ゲストハウス御旅庵（おたびあん）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151415,3000,125930.55,488710.62,59,4.5,kyoto
羽う座　京都五条烏丸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172696,2250,125972.09,488743.54,13,4.2,gojo
スーパーホテル京都・烏丸五条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=80468,2500,125968.52,488744.14,1239,4.32,gojo
ベッセルホテルカンパーナ京都五条（全室禁煙）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147994,57,125973.63,488750.7,1342,4.52,gojo
ＴＨＥ　ＰＯＣＫＥＴ　ＨＯＴＥＬ（ザ・ポケットホテル）京都烏丸五条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179674,1148,125975.78,488747.94,79,4.28,gojo
シタディーン京都　烏丸五条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=104758,1936,125975.8,488748.49,553,4.22,gojo
ウォーターマークホテル京都（ＨＩＳホテルグループ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179875,2600,125973.94,488739.03,131,4.39,gojo
烏丸六条ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165178,2940,125966.81,488740,52,4.57,gojo
ホテル　カンラ　京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=108734,7200,125964.87,488744.23,464,4.7,gojo
オーベルジュ麻布,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172672,11750,125977.03,488738.79,12,5,gojo
ｓｅｑｕｅｎｃｅ　ＫＹＯＴＯ　ＧＯＪＯ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179606,2500,125981.01,488744.31,206,4.45,gojo
Ｒａｃｉｎｅ　ｈｏｍｅ　京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153492,3400,125961.5,488749.57,13,5,gojo
ホテルインターゲート京都　四条新町,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165176,3187,126008.7,488733.72,476,4.42,shijo
京いすけ　百足屋町,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=148901,6600,126009.18,488735.96,17,5,shijo
ホテルビスタプレミオ京都　和邸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166316,2520,126011.86,488733.68,333,4.59,shijo
ヴィアイン京都四条室町（ＪＲ西日本グループ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=63392,2400,126009.01,488738.75,4233,4.22,shijo
三井ガーデンホテル京都新町　別邸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=144956,2970,126012.51,488734.56,622,4.57,shijo
コンフォートイン京都四条烏丸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182487,2200,126005.84,488737.32,119,4.39,shijo
静鉄ホテルプレジオ京都四条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=173080,2500,126006.91,488727.6,280,4.3,shijo
ｎｏｄｅ　ｈｏｔｅｌ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180582,6300,126005.38,488728.14,13,4,shijo
ＣＡＮＤＥＯ　ＨＯＴＥＬＳ（カンデオホテルズ）京都烏丸六角,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181833,4000,126014.67,488742.29,119,4.37,shijo
チェックイン四条烏丸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=140720,2750,126008.65,488745.82,1225,4.05,shijo
イビススタイルズ京都四条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183426,1400,126000.51,488730.79,145,4.29,shijo
アゴーラ　京都烏丸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182173,1960,126001.3,488728.8,42,4.24,shijo
ホテルマイステイズ京都四条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=68555,1170,126002.76,488726.63,2497,4.45,shijo
リッチモンドホテルプレミア京都四条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183335,2640,126003.34,488725.93,76,4.64,shijo
ＥＮ　ＨＯＴＥＬ　Ｋｙｏｔｏ　（エン　ホテル　京都　旧コートホテル京都四条）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1749,1310,126000.12,488729.42,2676,3.87,shijo
三井ガーデンホテル京都三条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1786,2430,126017.58,488741.74,2087,4.29,shijo
ホテルモントレ京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=55347,3500,126016.64,488743.38,3944,4.46,shijo
スマイルホテル京都四条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1388,1550,126000.75,488726.74,2654,4.2,shijo
アゴーラ　京都四条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182174,1855,126002.13,488723.53,21,4.19,shijo
三井ガーデンホテル京都四条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1787,1890,125998.9,488727.76,3906,4.27,shijo
ＭＩＭＡＲＵ京都　新町三条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167590,3366,126021.26,488733.65,13,5,shijo
東横イン京都四条烏丸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=108345,4500,126002.7,488748.69,395,3.82,shijo
相鉄フレッサイン　京都四条烏丸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158817,1640,125997.23,488741.8,398,4.54,shijo
ＡＢホテル京都四条堀川,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166513,1400,126003.06,488719.09,1032,4.39,shijo
東急ステイ京都三条烏丸（旧東急ステイ京都両替町通（三条烏丸））,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=162749,2310,126021.73,488742.34,325,4.6,shijo
ＭＩＭＡＲＵ京都　堀川六角,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166097,3200,126013.51,488717.59,12,5,shijo
からすま京都ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1753,2170,125995.4,488744.47,2271,4.16,shijo
ホテル　エムズ・エスト四条烏丸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167140,2200,126000.28,488750.81,39,4.09,shijo
ゲストハウスひつじ庵,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=145298,2100,126023.22,488725.87,24,4.5,shijo
アーバンホテル京都四条プレミアム,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168461,2000,125998.45,488719.02,400,4.31,shijo
ザ　ロイヤルパークホテル　京都四条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165805,3180,125993.46,488744.39,194,4.62,shijo
ＲＥＳＩ　ＳＴＡＹ　Ｍａｙｕ　Ｇｒａｃｅ　Ｈｏｔｅｌ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177615,3000,126024.45,488725.08,29,4.75,shijo
ザ・ワンファイブ京都四条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167060,1260,126002.05,488715.23,189,4.55,shijo
ザ・セレクトン京都堀川三条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172207,1802,126017.34,488715.35,235,4.03,shijo
京都堀川イン　二条城前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=838,2550,126020.97,488718.33,1684,4.38,shijo
ザエディスターホテル京都二条ＣＯＭＩＣ＆ＢＯＯＫＳ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167472,2450,126021.92,488715.48,199,4.36,shijo
メルディアステイ　大宮　ＫＡＲＩＧＡＮＥ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172567,1550,125994.66,488715.32,45,4.39,shijo
